sample	Range	ng_uL	percentage_total	nmole_L	size	plate	type	concentration
Plate 3_A3	200 bp to 1000 bp	0.1864	91.3	0.7278	421	3	Positive	0.1
Plate 3_B3	35 bp to 100 bp	0.0181	0.5	0.4438	67	3	Positive	0.1
Plate 3_B3	100 bp to 200 bp	0.0206	0.6	0.1995	170	3	Positive	0.1
Plate 3_B3	200 bp to 1000 bp	3.5233	96.5	12.4087	467	3	Positive	0.1
Plate 3_C3	35 bp to 100 bp	0.0159	10.1	0.4191	62	3	Negative	0.1
Plate 3_C3	100 bp to 200 bp	0.0081	5.1	0.0955	139	3	Negative	0.1
Plate 3_C3	200 bp to 1000 bp	0.1154	73	0.4694	404	3	Negative	0.1
Plate 3_D3	35 bp to 100 bp	0.0133	0.4	0.3029	72	3	Positive	0.1
Plate 3_D3	100 bp to 200 bp	0.0229	0.7	0.2413	156	3	Positive	0.1
Plate 3_D3	200 bp to 1000 bp	3.1808	97.1	11.4313	458	3	Positive	0.1
Plate 3_E3	35 bp to 100 bp	0.0193	0.2	0.4572	69	3	Positive	0.1
Plate 3_E3	100 bp to 200 bp	0.0209	0.3	0.2129	161	3	Positive	0.1
Plate 3_E3	200 bp to 1000 bp	7.9036	98.4	29.3079	444	3	Positive	0.1
Plate 3_F3	35 bp to 100 bp	0.0997	25	2.0577	79	3	Negative	0.1
Plate 3_F3	100 bp to 200 bp	0.0211	5.3	0.2599	134	3	Negative	0.1
Plate 3_F3	200 bp to 1000 bp	0.2494	62.4	1.0134	405	3	Negative	0.1
Plate 3_G3	35 bp to 100 bp	0.0151	0.5	0.4072	61	3	Positive	0.1
Plate 3_G3	100 bp to 200 bp	0.0142	0.5	0.1434	163	3	Positive	0.1
Plate 3_G3	200 bp to 1000 bp	2.9496000000000002	96.6	10.4441	465	3	Positive	0.1
Plate 3_H3	35 bp to 100 bp	0.0164	0.7	0.3972	68	3	Positive	0.1
Plate 3_H3	100 bp to 200 bp	0.0575	2.5	0.6568	144	3	Positive	0.1
Plate 3_H3	200 bp to 1000 bp	2.2107	94.6	8.3075	438	3	Positive	0.1
Plate 3_A4	35 bp to 100 bp	0.0203	0.1	0.6234	53	3	Positive	1
Plate 3_A4	100 bp to 200 bp	0.0489	0.2	0.4662	172	3	Positive	1
Plate 3_A4	200 bp to 1000 bp	29.8916	98.2	115.9974	424	3	Positive	1
Plate 3_B4	35 bp to 100 bp	0.0453	0.2	1.2453	60	3	Positive	1
Plate 3_B4	100 bp to 200 bp	0.0847	0.3	0.8082	172	3	Positive	1
Plate 3_B4	200 bp to 1000 bp	25.5932	97	99.8316	422	3	Positive	1
Plate 3_C4	35 bp to 100 bp	0.0458	0.2	1.1875	63	3	Positive	1
Plate 3_C4	100 bp to 200 bp	0.1577	0.7	1.545	168	3	Positive	1
Plate 3_C4	200 bp to 1000 bp	23.3957	97.7	93.2563	413	3	Positive	1
Plate 3_D4	35 bp to 100 bp	0.0387	0.2	0.9925	64	3	Positive	1
Plate 3_D4	100 bp to 200 bp	0.1975	0.8	2.0061	162	3	Positive	1
Plate 3_D4	200 bp to 1000 bp	23.227	97.2	94.11	406	3	Positive	1
Plate 3_E4	35 bp to 100 bp	0.0347	16.2	0.8228	69	3	Negative	1
Plate 3_E4	100 bp to 200 bp	0.0186	8.7	0.2198	139	3	Negative	1
Plate 3_E4	200 bp to 1000 bp	0.1397	65.5	0.6161	373	3	Negative	1
Plate 3_F4	35 bp to 100 bp	0.0541	0.2	1.4357	62	3	Positive	1
Plate 3_F4	100 bp to 200 bp	0.1395	0.5	1.4118	162	3	Positive	1
Plate 3_F4	200 bp to 1000 bp	27.3253	98.2	97.1687	463	3	Positive	1
Plate 3_G4	35 bp to 100 bp	0.0471	0.1	1.321	58	3	Positive	1
Plate 3_G4	100 bp to 200 bp	0.2376	0.7	2.2967	170	3	Positive	1
Plate 3_G4	200 bp to 1000 bp	34.5024	98.7	141.8583	400	3	Positive	1
Plate 3_H4	35 bp to 100 bp	0.0585	0.2	1.6292	59	3	Positive	1
Plate 3_H4	100 bp to 200 bp	0.2175	0.7	2.1069	170	3	Positive	1
Plate 3_H4	200 bp to 1000 bp	29.7225	98.3	116.1129	421	3	Positive	1
Plate 3_A5	35 bp to 100 bp	0.0371	1.3	0.8094	75	3	Positive	0.1
Plate 3_A5	100 bp to 200 bp	0.055	1.9	0.6222	145	3	Positive	0.1
Plate 3_A5	200 bp to 1000 bp	2.7037	94.8	10.4155	427	3	Positive	0.1
Plate 3_B5	35 bp to 100 bp	0.0463	15.1	1.0179	75	3	Negative	0.1
Plate 3_B5	100 bp to 200 bp	0.0378	12.3	0.5039	123	3	Negative	0.1
Plate 3_B5	200 bp to 1000 bp	0.194	63.1	0.8462	377	3	Negative	0.1
Plate 3_C5	35 bp to 100 bp	0.0295	0.9	0.6879	70	3	Positive	0.1
Plate 3_C5	100 bp to 200 bp	0.0727	2.3	0.7835	152	3	Positive	0.1
Plate 3_C5	200 bp to 1000 bp	3.0274	94.9	11.3473	439	3	Positive	0.1
Plate 3_D5	35 bp to 100 bp	0.0244	0.5	0.5171	77	3	Positive	0.1
Plate 3_D5	100 bp to 200 bp	0.057	1.1	0.5971	157	3	Positive	0.1
Plate 3_D5	200 bp to 1000 bp	4.9842	96.7	18.5113	443	3	Positive	0.1
Plate 3_E5	35 bp to 100 bp	0.0196	0.4	0.4829	67	3	Positive	0.1
Plate 3_E5	100 bp to 200 bp	0.2367	4.5	2.2022	177	3	Positive	0.1
Plate 3_E5	200 bp to 1000 bp	4.9389	94.8	25.8205	315	3	Positive	0.1
Plate 3_F5	35 bp to 100 bp	0.0196	0.4	0.522	62	3	Positive	0.1
Plate 3_F5	100 bp to 200 bp	0.0805	1.5	0.8088	164	3	Positive	0.1
