Cryosection,Replicate,Distance_from_one_side,Bacterial_count,Organ_source
G121eO3_1 tile.czi,2,3482.3,872,old colon
G121eO3_2 tile.czi,3,3555.2,997,old colon
G121eO3_3 tile.czi,1,3557.6,276,old colon
G121eI B2-3 stitch.czi,4,3560.9,472,old caecum
G121eI B2-1 stitch.czi,3,3561.92,994,old caecum
G121eD3_2 tile.czi - Scene #2,3,3562.1,2,old ileum
G121eD3_3 tile.czi,1,3562.1,0,old ileum
G121eO3_1 tile.czi,2,3562.1,824,old colon
G121eO3_2 tile.czi,3,3636.6,983,old colon
G121eI B2-1 stitch.czi,3,3639.92,1075,old caecum
G121eI B2-3 stitch.czi,4,3640.3,514,old caecum
G121eD3_2 tile.czi - Scene #2,3,3641.4,4,old ileum
G121eD3_3 tile.czi,1,3641.4,0,old ileum
G121eO3_1 tile.czi,2,3641.4,1174,old colon
G121eO3_2 tile.czi,3,3716.2,1012,old colon
G121eI B2-3 stitch.czi,4,3720.4,467,old caecum
G121eI B2-1 stitch.czi,3,3721.72,302,old caecum
G121eD3_2 tile.czi - Scene #2,3,3722,9,old ileum
G121eD3_3 tile.czi,1,3722,0,old ileum
G121eO3_1 tile.czi,2,3722,253,old colon
G121eO3_2 tile.czi,3,3795.9,1280,old colon
G121eI B2-3 stitch.czi,4,3798.8,788,old caecum
G121eD3_2 tile.czi - Scene #2,3,3802.6,11,old ileum
G121eD3_3 tile.czi,1,3802.6,1,old ileum
G121eO3_1 tile.czi,2,3802.6,68,old colon
G121eI B2-1 stitch.czi,3,3804.92,681,old caecum
G121eO3_2 tile.czi,3,3874.7,639,old colon
G121eI B2-3 stitch.czi,4,3876.4,486,old caecum
G121eD3_2 tile.czi - Scene #2,3,3884.4,24,old ileum
G121eD3_3 tile.czi,1,3884.4,0,old ileum
G121eO3_1 tile.czi,2,3884.4,134,old colon
G121eI B2-1 stitch.czi,3,3886.92,255,old caecum
G121eO3_2 tile.czi,3,3954.3,392,old colon
G121eI B2-3 stitch.czi,4,3956.7,688,old caecum
G121eD3_2 tile.czi - Scene #2,3,3966.2,7,old ileum
G121eD3_3 tile.czi,1,3966.2,0,old ileum
G121eO3_1 tile.czi,2,3966.2,34,old colon
G121eI B2-1 stitch.czi,3,3966.22,94,old caecum
G121eO3_2 tile.czi,3,4034.7,0,old colon
G121eI B2-3 stitch.czi,4,4035.7,552,old caecum
G121eI B2-1 stitch.czi,3,4044.62,195,old caecum
G121eD3_2 tile.czi - Scene #2,3,4046.2,0,old ileum
G121eD3_3 tile.czi,1,4046.2,0,old ileum
G121eO3_1 tile.czi,2,4046.2,40,old colon
G121eO3_2 tile.czi,3,4113.6,811,old colon
G121eI B2-3 stitch.czi,4,4115.3,427,old caecum
G121eI B2-1 stitch.czi,3,4124.42,154,old caecum
G121eD3_2 tile.czi - Scene #2,3,4127.4,0,old ileum
G121eD3_3 tile.czi,1,4127.4,0,old ileum
G121eO3_1 tile.czi,2,4127.4,140,old colon
G121eO3_2 tile.czi,3,4192.4,1163,old colon
G121eI B2-3 stitch.czi,4,4196.1,216,old caecum
G121eI B2-1 stitch.czi,3,4203.72,48,old caecum
G121eD3_2 tile.czi - Scene #2,3,4206.8,0,old ileum
G121eD3_3 tile.czi,1,4206.8,0,old ileum
G121eO3_1 tile.czi,2,4206.8,1070,old colon
G121eO3_2 tile.czi,3,4272.8,920,old colon
G121eI B2-3 stitch.czi,4,4274,206,old caecum
G121eI B2-1 stitch.czi,3,4284.32,401,old caecum
G121eD3_2 tile.czi - Scene #2,3,4286.9,0,old ileum
G121eD3_3 tile.czi,1,4286.9,0,old ileum
G121eO3_1 tile.czi,2,4286.9,787,old colon
G121eO3_2 tile.czi,3,4353.2,964,old colon
G121eI B2-3 stitch.czi,4,4354.8,384,old caecum
