microsample	total_before_filtering.total_reads	total_after_filtering.total_reads	total_low_quality_reads	total_adapter_trimmed_reads	total_before_filtering.total_bases	total_after_filtering.total_bases	total_adapter_trimmed_bases	percent_before_filtering.gc_content	percent_after_filtering.gc_content	percent_duplication.rate
M300023	23566226	87756	101508	22990626	3534933900	7330306	1649261404	0.737962	0.559672	0.901449
M300024	10872986	9893482	84920	3194730	1630947900	1409913482	136988462	0.486214	0.46607	0.140046
M300025	12002124	11215982	219762	2519258	1800318600	1618202311	100605064	0.436763	0.423692	0.142642
M300026	18690640	13532208	437854	6455844	2803596000	1963264621	371437047	0.509525	0.430633	0.484484
M300027	15152610	13170446	1212344	2712550	2272891500	1906581172	97275271	0.467537	0.450321	0.145264
M300028	16193482	14034060	1130426	3632713	2429022300	2012218063	143458560	0.464094	0.444367	0.147195
M300029	201214	984	2894	185570	30182100	97543	13253013	0.740388	0.497709	0.758228
M300030	19283752	7951200	128848	11716017	2892562800	1170261793	806360821	0.622831	0.457655	0.689985
M300031	12212658	11760392	91242	3588687	1831898700	1660500303	129866305	0.52348	0.521192	0.115457
M300032	15995084	13346550	122986	5412699	2399262600	1901846306	273953647	0.525473	0.489548	0.259191
M300033	24499072	6237128	353108	17556123	3674860800	896033607	1209001058	0.657762	0.42608	0.7725
M300034	14311210	13467188	311322	3709371	2146681500	1914543906	139689225	0.456811	0.447171	0.119732
M300035	20637956	4420616	555640	15350526	3095693400	625697777	1051000635	0.678544	0.471956	0.730955
M300036	16168872	14024362	1146626	3146074	2425330800	2027720596	121954627	0.455163	0.435546	0.174628
M300037	18454292	15936262	1405948	4588518	2768143800	2263257056	175749147	0.493462	0.478881	0.177839
M300038	10255826	10021784	86996	2202304	1538373900	1441810493	71800973	0.502745	0.50057	0.0989664
M300039	21576158	20497172	190310	3324051	3236423700	3004020620	131136063	0.460845	0.448995	0.183209
M300040	10292538	10059088	86768	1609602	1543880700	1465604970	53144763	0.442813	0.438786	0.108675
M300041	13876428	12816530	380558	3313879	2081464200	1834459654	131299627	0.447898	0.436088	0.121193
M300042	12021994	11359730	290228	2369736	1803299100	1637385274	88943224	0.447595	0.439394	0.111935
M300043	12910752	11100712	1068404	2763810	1936612800	1591228952	105406064	0.481932	0.464807	0.135065
M300044	15527238	11841336	1349686	4595560	2329085700	1691085610	217304884	0.493692	0.448543	0.42136
M300045	14600750	12461698	1266652	3171467	2190112500	1782363755	121310547	0.478731	0.462573	0.126216
M300046	12097248	11768732	93624	2660982	1814587200	1689847976	92304204	0.487799	0.484375	0.111658
M300047	10766638	10404834	120956	2669574	1614995700	1486461568	90962180	0.491424	0.487365	0.108113
M300048	23460530	10601474	161076	13805882	3519079500	1535696580	912152304	0.59587	0.422957	0.627443
M300049	13921958	12727482	268556	4280396	2088293700	1793060954	179390214	0.46266	0.448175	0.136588
M300050	28499640	8026408	320468	20111178	4274946000	1153306191	1379852906	0.651502	0.430671	0.732393
M300051	36204794	1464468	385410	32148912	5430719100	202295863	2283498237	0.728716	0.462381	0.881393
M300052	10513540	9015288	540878	3249205	1577031000	1269521093	141477404	0.485214	0.46267200000000003	0.135771
M300053	17450986	15599380	1066546	3553377	2617647900	2241957733	134174539	0.447488	0.434793	0.157285
M300054	18523602	16933690	165464	3425772	2778540300	2479254862	156699598	0.492384	0.472122	0.260716
M300055	16779448	16203494	201718	3429871	2516917200	2341118973	114699752	0.489614	0.484617	0.127127
M300056	34814884	215236	260012	32469493	5222232600	29628619	2319796145	0.747361	0.517943	0.818123
M300057	10021600	9458236	150292	2122878	1503240000	1364086000	81862195	0.439319	0.428035	0.10673
M300058	16481720	13923130	233952	4200120	2472258000	2026212121	213780499	0.492952	0.452543	0.262606
M300059	12924216	11628504	740436	1931624	1938632400	1697666807	69858187	0.46308	0.448373	0.123452
M300060	36545236	7404090	681068	27630446	5481785400	1072642253	1923218835	0.682494	0.468952	0.847186
M300061	15073916	11310542	988426	4214297	2261087400	1643013926	220794527	0.530394	0.479376	0.631307
M300062	11079506	10842676	90672	2012524	1661925900	1570952738	65819456	0.504889	0.503246	0.114963
M300063	24738246	17131490	224376	9637534	3710736900	2493030115	581023134	0.562775	0.487443	0.465983
M300064	10482524	9968212	101494	3079448	1572378600	1407609018	116974953	0.461727	0.452392	0.103139
M300065	36941036	723818	333138	33224354	5541155400	103223812	2371606972	0.734701	0.432183	0.903333
M300066	11471560	10735008	193498	2775739	1720734000	1534144697	112814143	0.459742	0.448441	0.115997
M300067	792264	704936	54976	117431	118839600	103069916	4208528	0.455823	0.443191	0.00966597
M300068	18429346	16389174	1119420	2767116	2764401900	2396173056	102529780	0.472276	0.455626	0.151208
M300069	15094664	13294060	1191218	2274057	2264199600	1936661930	76325089	0.465817	0.454492	0.278556
